ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,stock_name,industry
002594.SZ,2025-01-02,283.0,283.08,269.42,271.1,282.66,-11.56,-4.0897,168784.04,4624073.918,0.0,0.0,,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-03,271.5,274.59,268.24,270.73,271.1,-0.37,-0.1365,99364.76,2693072.23,-0.001364810033198105,-0.001364810033198105,,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-06,271.94,273.89,269.03,271.28,270.73,0.55,0.2032,82446.83,2236590.144,0.002031544343072289,0.0006639616377719371,,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-07,271.28,277.73,267.5,274.03,271.28,2.75,1.0137,95722.18,2627167.273,0.010137127690946546,0.01080781999262248,,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-08,272.99,273.99,265.81,269.18,274.03,-4.85,-1.7699,109082.47,2933447.142,-0.01769879210305425,-0.007082257469568476,271.264,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-09,269.0,271.7,266.66,269.39,269.18,0.21,0.078,65612.88,1766873.664,0.0007801471134556426,-0.006307635558834512,270.92199999999997,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-10,269.0,270.39,264.78,266.02,269.39,-3.37,-1.251,80548.21,2147363.1,-0.012509744236979814,-0.01873847288823327,269.98,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-13,263.0,268.47,262.21,266.0,266.02,-0.02,-0.0075,67213.75,1787448.697,-7.518231711889367e-05,-0.018812246403541177,268.924,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-14,266.34,277.15,266.01,276.3,266.0,10.3,3.8722,125789.73,3438827.617,0.03872180451127827,0.019181113980081266,269.37800000000004,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-15,276.2,277.31,274.5,274.69,276.3,-1.61,-0.5827,62335.83,1718769.123,-0.005826999638074648,0.013242345997786842,270.48,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-16,274.7,277.33,270.53,272.76,274.69,-1.93,-0.7026,72571.75,1984685.718,-0.0070261021515163335,0.006123201770564357,271.154,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-17,273.52,279.2,272.48,276.6,272.76,3.84,1.4078,86141.53,2376770.8,0.014078310602727795,0.02028771670970131,273.27,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-20,279.0,286.43,278.92,284.43,276.6,7.83,2.8308,135797.09,3863727.458,0.02830802603036875,0.04917004795278501,276.956,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-21,285.0,287.43,283.0,286.05,284.43,1.62,0.5696,76441.44,2184132.797,0.005695601729775346,0.055145702692733334,278.906,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-22,285.0,286.3,279.8,282.5,286.05,-3.55,-1.241,81056.89,2287303.62,-0.012410417759133097,0.04205090372556253,280.46799999999996,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-23,284.98,285.0,277.0,277.11,282.5,-5.39,-1.908,96173.92,2690601.164,-0.01907964601769907,0.022168941350055427,281.338,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-24,276.51,280.5,276.0,279.08,277.11,1.97,0.7109,68143.67,1898979.251,0.00710909025296802,0.029435632607893725,281.834,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-01-27,279.09,280.12,274.5,274.5,279.08,-4.58,-1.6411,63407.68,1755529.34,-0.016411064927619234,0.012541497602360785,279.848,,2025-01,比亚迪,汽车新能源
002594.SZ,2025-02-05,282.73,286.75,281.6,282.8,274.5,8.3,3.0237,145350.9,4128876.836,0.030236794171220494,0.04315750645518279,279.198,,2025-02,比亚迪,汽车新能源
