ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,stock_name,industry
600519.SH,2025-01-02,1524.0,1524.49,1480.0,1488.0,1524.0,-36.0,-2.3622,50028.7,7490883.773,0.0,0.0,,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-03,1494.5,1494.99,1467.01,1475.0,1488.0,-13.0,-0.8737,32628.36,4836610.288,-0.008736559139784994,-0.008736559139784994,,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-06,1453.0,1462.66,1432.8,1440.0,1475.0,-35.0,-2.3729,44255.12,6392479.712,-0.023728813559321993,-0.032258064516129004,,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-07,1444.66,1451.89,1439.0,1440.2,1440.0,0.2,0.0139,24221.18,3494634.227,0.0001388888888889106,-0.03212365591397848,,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-08,1440.0,1451.82,1426.66,1442.5,1440.2,2.3,0.1597,35258.21,5071821.246,0.001597000416608818,-0.030577956989247257,1457.1399999999999,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-09,1448.99,1464.58,1432.98,1444.0,1442.5,1.5,0.104,29705.65,4295852.736,0.0010398613518196598,-0.029569892473118364,1448.34,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-10,1447.1,1451.95,1436.0,1436.0,1444.0,-8.0,-0.554,21871.95,3154677.598,-0.005540166204986097,-0.034946236559139865,1440.54,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-13,1425.0,1444.44,1422.01,1443.98,1436.0,7.98,0.5557,21082.51,3030806.87,0.005557103064066871,-0.029583333333333406,1441.336,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-14,1444.95,1478.68,1442.0,1472.5,1443.98,28.52,1.9751,30956.57,4535651.504,0.019750966079862486,-0.010416666666666852,1447.796,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-15,1467.0,1474.6,1460.01,1471.27,1472.5,-1.23,-0.0835,18399.34,2701518.712,-0.0008353140916808055,-0.011243279569892684,1453.55,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-16,1474.0,1482.66,1442.0,1446.38,1471.27,-24.89,-1.6917,26342.13,3840411.437,-0.01691735711324216,-0.027970430107526978,1454.026,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-17,1446.39,1461.0,1446.38,1454.75,1446.38,8.37,0.5787,18308.94,2663227.309,0.0057868609908875435,-0.022345430107526987,1457.776,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-20,1461.0,1489.79,1460.0,1474.8,1454.75,20.05,1.3782,31409.75,4647626.351,0.013782436844818724,-0.00887096774193552,1463.94,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-21,1481.0,1482.0,1465.0,1468.15,1474.8,-6.65,-0.4509,16856.04,2481821.229,-0.004509085977759564,-0.013340053763440718,1463.0700000000002,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-22,1463.27,1467.95,1438.0,1441.0,1468.15,-27.15,-1.8493,28293.84,4088101.682,-0.018492660831658903,-0.03158602150537626,1457.016,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-23,1449.97,1468.0,1438.0,1443.0,1441.0,2.0,0.1388,27125.04,3932700.85,0.001387925052047212,-0.030241935483870885,1456.3400000000001,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-24,1442.0,1447.79,1430.31,1436.0,1443.0,-7.0,-0.4851,31360.34,4515322.685,-0.00485100485100487,-0.034946236559139754,1452.5900000000001,,2025-01,贵州茅台,食品饮料
600519.SH,2025-01-27,1437.0,1443.97,1427.02,1434.99,1436.0,-1.01,-0.0703,29356.46,4213534.543,-0.0007033426183843394,-0.03562499999999991,1444.6280000000002,,2025-01,贵州茅台,食品饮料
600519.SH,2025-02-05,1440.0,1443.0,1402.21,1403.8,1434.99,-31.19,-2.1735,40756.52,5753730.034,-0.021735343103436278,-0.05658602150537628,1431.7579999999998,,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-06,1400.01,1421.99,1400.01,1412.84,1403.8,9.04,0.644,27355.82,3859568.163,0.006439663769767678,-0.05051075268817207,1426.1259999999997,1448.458,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-07,1413.68,1442.68,1403.41,1436.0,1412.84,23.16,1.6393,37242.07,5310850.624,0.016392514368222866,-0.034946236559139865,1424.7259999999999,1445.858,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-10,1438.0,1440.0,1427.09,1431.51,1436.0,-4.49,-0.3127,20839.79,2988101.756,-0.0031267409470752128,-0.037963709677419466,1423.828,1443.6834999999999,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-11,1434.95,1435.96,1415.9,1418.0,1431.51,-13.51,-0.9438,23572.83,3348668.867,-0.009437586883780047,-0.04704301075268824,1420.4299999999998,1442.5835,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-12,1418.0,1445.0,1416.88,1443.0,1418.0,25.0,1.763,25475.79,3644170.477,0.017630465444287813,-0.030241935483870996,1428.27,1442.7235,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-13,1443.02,1475.25,1434.51,1465.06,1443.0,22.06,1.5288,43385.36,6335985.851,0.015287595287595268,-0.015416666666666745,1438.714,1443.8515,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-14,1465.06,1477.0,1458.22,1475.0,1465.06,9.94,0.6785,27099.92,3978694.098,0.006784705063273888,-0.008736559139784994,1446.514,1445.4015,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-17,1481.0,1494.98,1467.1,1471.62,1475.0,-3.38,-0.2292,32470.59,4804663.813,-0.0022915254237289018,-0.011008064516129124,1454.536,1447.1825,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-18,1470.0,1492.99,1462.08,1475.0,1471.62,3.38,0.2297,27799.92,4113845.397,0.0022967885731370874,-0.008736559139784994,1465.9360000000001,1448.7334999999998,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-19,1475.05,1494.44,1464.9,1491.0,1475.0,16.0,1.0847,32393.31,4803378.441,0.010847457627118695,0.002016129032258007,1475.536,1449.6585,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-20,1483.0,1491.97,1473.39,1474.0,1491.0,-17.0,-1.1402,23749.73,3513552.984,-0.011401743796110031,-0.009408602150537737,1477.324,1449.7949999999998,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-21,1480.0,1496.73,1473.01,1488.21,1474.0,14.21,0.964,36417.83,5418169.587,0.00964043419267302,0.00014112903225793616,1479.966,1451.8865,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-24,1488.0,1499.52,1474.0,1479.07,1488.21,-9.14,-0.6142,34743.73,5157907.322,-0.006141606359317597,-0.006001344086021709,1481.456,1453.1025,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-25,1470.01,1473.39,1452.0,1454.0,1479.07,-25.07,-1.695,28387.43,4142814.459,-0.016949840102226332,-0.02284946236559149,1477.256,1452.0625,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-26,1455.45,1464.96,1445.0,1460.01,1454.0,6.01,0.4133,26366.09,3835949.041,0.00413342503438785,-0.018810483870967842,1471.0580000000002,1451.6555,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-27,1460.02,1489.9,1454.0,1485.56,1460.01,25.55,1.75,49762.17,7368002.361,0.017499880137807233,-0.001639784946236733,1473.3700000000001,1453.8835000000001,2025-02,贵州茅台,食品饮料
600519.SH,2025-02-28,1485.5,1528.38,1482.0,1500.79,1485.56,15.23,1.0252,56128.95,8475738.166,0.010252026171948536,0.008595430107526614,1475.886,1456.773,2025-02,贵州茅台,食品饮料
600519.SH,2025-03-03,1502.6,1520.99,1481.5,1487.02,1500.79,-13.77,-0.9175,31595.66,4736679.903,-0.009175167744987611,-0.0006586021505379236,1477.4759999999999,1459.324,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-04,1485.0,1486.0,1465.21,1470.11,1487.02,-16.91,-1.1372,25211.21,3710675.863,-0.011371736762114892,-0.012022849462365981,1480.6979999999999,1461.08,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-05,1472.0,1474.0,1460.1,1466.37,1470.11,-3.74,-0.2544,24605.22,3606932.152,-0.0025440273176837724,-0.01453629032258108,1481.9699999999998,1464.2085,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-06,1474.0,1510.2,1472.08,1505.98,1466.37,39.61,2.7012,42167.64,6297117.4,0.027012282029774237,0.012083333333333002,1486.0539999999999,1468.8655,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-07,1503.0,1528.36,1503.0,1521.0,1505.98,15.02,0.9974,37991.35,5760608.729,0.00997357202618887,0.0221774193548383,1490.096,1473.1155,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-10,1519.81,1526.88,1506.14,1522.9,1521.0,1.9,0.1249,31369.07,4758789.26,0.0012491781722552275,0.02345430107526858,1497.272,1477.685,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-11,1517.0,1548.68,1512.0,1548.68,1522.9,25.78,1.6928,39775.6,6094007.854,0.01692822903670632,0.04077956989247289,1512.986,1484.2189999999998,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-12,1546.96,1549.68,1526.35,1542.58,1548.68,-6.1,-0.3939,29603.96,4552923.644,-0.003938838236433706,0.036680107526881445,1528.2279999999998,1489.1979999999999,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-13,1544.0,1555.5,1530.88,1537.77,1542.58,-4.81,-0.3118,25724.39,3966369.271,-0.0031181527052080993,0.03344758064516107,1534.586,1492.8335,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-14,1547.66,1628.01,1541.0,1628.01,1537.77,90.24,5.8682,92913.15,14882842.708,0.05868237772878904,0.09409274193548356,1555.988,1500.484,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-17,1657.0,1657.99,1626.88,1637.86,1628.01,9.85,0.605,54689.13,8985138.902,0.006050331386170837,0.10071236559139751,1578.98,1508.796,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-18,1645.04,1652.0,1621.7,1624.0,1637.86,-13.86,-0.8462,31613.45,5153210.436,-0.008462261731771892,0.09139784946236529,1594.0439999999999,1516.246,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-19,1624.29,1648.0,1623.0,1635.71,1624.0,11.71,0.7211,27389.55,4477128.77,0.007210591133004929,0.09926747311827921,1612.6699999999998,1523.4815,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-20,1635.71,1637.6,1595.07,1604.0,1635.71,-31.71,-1.9386,36736.77,5903879.207,-0.01938607699408823,0.07795698924731154,1625.916,1529.9815,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-21,1599.0,1612.2,1568.83,1573.75,1604.0,-30.25,-1.8859,33614.3,5324973.19,-0.018859102244389025,0.05762768817204278,1615.0639999999999,1534.2585,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-24,1570.0,1589.66,1562.38,1583.0,1573.75,9.25,0.5878,25565.85,4032223.482,0.005877680698967325,0.06384408602150504,1604.092,1539.455,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-25,1588.0,1592.8,1566.66,1575.5,1583.0,-7.5,-0.4738,17674.38,2783286.813,-0.004737839545167377,0.0588037634408598,1594.392,1545.53,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-26,1572.77,1582.58,1571.0,1576.0,1575.5,0.5,0.0317,14323.56,2257639.75,0.00031735956839096247,0.05913978494623606,1582.45,1551.3295,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-27,1576.0,1598.25,1573.38,1589.0,1576.0,13.0,0.8249,17955.63,2848889.21,0.008248730964466988,0.06787634408602106,1579.45,1556.5014999999999,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-28,1590.93,1593.0,1576.0,1585.21,1589.0,-3.79,-0.2385,16227.89,2569470.015,-0.002385147891755812,0.06532930107526846,1581.742,1560.7224999999999,2025-03,贵州茅台,食品饮料
600519.SH,2025-03-31,1580.98,1586.96,1560.06,1561.0,1585.21,-24.21,-1.5272,21084.94,3311857.714,-0.015272424473729007,0.049059139784946026,1577.342,1564.4215,2025-03,贵州茅台,食品饮料
600519.SH,2025-04-01,1564.0,1569.89,1552.21,1556.02,1561.0,-4.98,-0.319,18556.44,2893739.955,-0.0031902626521460586,0.045712365591397575,1573.446,1568.717,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-02,1558.0,1567.8,1545.5,1549.02,1556.02,-7.0,-0.4499,21674.01,3371883.024,-0.004498656829603709,0.04100806451612882,1568.05,1572.8495,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-03,1530.0,1586.0,1529.01,1568.88,1549.02,19.86,1.2821,35480.5,5557442.052,0.012821009412402828,0.05435483870967728,1564.026,1575.9945,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-07,1520.01,1536.85,1462.0,1500.0,1568.88,-68.88,-4.3904,101952.67,15314738.235,-0.04390393146703386,0.008064516129032029,1546.984,1574.9445,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-08,1513.0,1545.0,1495.0,1545.0,1500.0,45.0,3.0,73876.49,11226977.557,0.030000000000000027,0.038306451612903025,1543.784,1576.0495,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-09,1525.02,1556.8,1520.55,1541.04,1545.0,-3.96,-0.2563,55630.04,8562928.225,-0.0025631067961164877,0.03564516129032236,1540.788,1575.6675,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-10,1550.99,1555.0,1528.0,1549.0,1541.04,7.96,0.5165,38620.21,5963650.791,0.00516534288532422,0.040994623655913776,1540.784,1575.9885,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-11,1579.97,1579.97,1545.0,1568.98,1549.0,19.98,1.2899,32634.23,5087359.924,0.012898644286636562,0.054422043010752486,1540.804,1577.5490000000002,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-14,1560.97,1566.0,1551.53,1551.99,1568.98,-16.99,-1.0829,21711.44,3379425.64,-0.01082869125164121,0.04300403225806426,1551.202,1573.748,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-15,1552.0,1565.0,1545.0,1558.0,1551.99,6.01,0.3872,21489.28,3339942.729,0.003872447631750209,0.04704301075268802,1553.8020000000001,1569.7549999999999,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-16,1552.0,1576.0,1537.0,1559.17,1558.0,1.17,0.0751,31156.05,4834880.596,0.000750962772785746,0.04782930107526884,1557.428,1566.5135,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-17,1554.0,1576.5,1549.99,1570.0,1559.17,10.83,0.6946,23846.05,3733924.973,0.0069460033222803474,0.05510752688172027,1561.6280000000002,1563.228,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-18,1566.0,1575.0,1556.0,1565.94,1570.0,-4.06,-0.2586,20298.48,3179974.34,-0.0025859872611464496,0.052379032258064395,1561.02,1561.325,2025-04,贵州茅台,食品饮料
