ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,signal,position,strategy_return,strategy_cumulative_return
002594.SZ,2025-04-01,377.77,377.87,364.36,365.5,374.9,-9.4,-2.5073,154071.99,5663384.88,0.0,0.0,,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-02,365.0,365.67,358.88,360.5,365.5,-5.0,-1.368,117100.41,4226638.863,-0.013679890560875485,-0.013679890560875485,,,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-03,355.5,361.53,354.26,357.51,360.5,-2.99,-0.8294,101023.22,3618676.87,-0.00829403606102641,-0.02186046511627915,,,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-07,333.34,337.7,321.76,321.76,357.51,-35.75,-9.9997,273498.4,8911483.834,-0.099997202875444,-0.11967168262653904,,,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-08,321.76,335.88,318.0,327.51,321.76,5.75,1.787,274643.51,8924529.993,0.017870462456489378,-0.10393980848153217,346.556,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-09,319.8,328.0,313.66,324.6,327.51,-2.91,-0.8885,211938.56,6822376.377,-0.008885224878629527,-0.11190150478796157,338.37600000000003,,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-10,334.5,347.06,334.0,336.4,324.6,11.8,3.6352,210895.78,7165511.481,0.03635243376463326,-0.07961696306429544,333.556,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-11,337.0,357.55,336.4,354.98,336.4,18.58,5.5232,189944.93,6621821.827,0.05523186682520831,-0.028782489740081796,333.05,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-14,363.2,363.7,355.6,359.0,354.98,4.02,1.1325,142069.17,5115484.103,0.011324581666572797,-0.01778385772913782,340.498,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-15,364.6,365.0,357.33,359.97,359.0,0.97,0.2702,116515.57,4195947.009,0.002701949860724362,-0.015129958960327872,346.99,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-16,356.62,357.0,348.1,352.15,359.97,-7.82,-2.1724,131827.93,4618462.218,-0.021724032558268935,-0.036525307797537376,352.5,,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-17,349.94,353.45,346.67,349.68,352.15,-2.47,-0.7014,85288.64,2985985.219,-0.007014056510009858,-0.04328317373460977,355.156,,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-18,347.9,347.9,344.0,346.0,349.68,-3.68,-1.0524,73860.13,2553879.767,-0.01052390757263788,-0.053351573187414236,353.36,,2025-04,0,0.0,-0.0,0.0
